year,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_year,exposure_total_year,selected_share,available_share,selection_ratio,log2_selection_ratio,conversion_rate_per_1000_ha_year
2004,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,65674.98454342916,17791007.83696052,207,1106,321118.2395772644,124133342.07255156,0.20451963311049193,0.14332175014318316,1.4269964810377356,0.5129817771432716,3.6914707219110143
2004,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,16659.629491547043,8565354.715959614,163,1076,321118.2395772644,124133342.07255156,0.051880047403967414,0.0690012415113537,0.7518712166277601,-0.41144252213793475,1.945001700922621
2004,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,5251.230539651946,10022633.121181674,131,1038,321118.2395772644,124133342.07255156,0.016352950073981846,0.0807408626388533,0.20253623183501443,-2.303748079171686,0.523937220504867
2004,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,464.2622284889221,7165197.068408504,42,890,321118.2395772644,124133342.07255156,0.001445767232344383,0.057721776831084586,0.0250471713054717,-5.319208507471987,0.06479406275311861
2005,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,98120.44595378052,43517971.279866405,265,1141,327152.9979155176,125352953.98623675,0.29992219719508323,0.3471635082859276,0.8639220137966346,-0.21102700864080676,2.2547109405161074
2005,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,141515.26235193084,38179725.44897493,255,1139,327152.9979155176,125352953.98623675,0.4325659958906293,0.30457778803654606,1.4202151728763819,0.5061095250288266,3.706555264287012
2005,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,65543.27162288124,17867066.94517902,209,1111,327152.9979155176,125352953.98623675,0.20034440167290415,0.14253407181087055,1.4055895487132546,0.4911753693134978,3.668384510114932
2005,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,16718.02594239291,8591645.484645974,165,1075,327152.9979155176,125352953.98623675,0.05110155202279421,0.0685396331831901,0.7455766780398714,-0.4235713623126236,1.9458468080729694
2005,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,4907.823110190559,10040821.001640216,127,1040,327152.9979155176,125352953.98623675,0.015001614356161064,0.08010039398626902,0.18728515066645832,-2.4166915781634617,0.4887870333898835
2005,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,348.16893434150546,7155723.825930204,38,891,327152.9979155176,125352953.98623675,0.0010642388624279547,0.05708460469719664,0.018643185287402338,-5.745207816598912,0.04865600501235742
2006,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,107131.53146092003,44008997.71124014,262,1141,355150.0059124423,126013461.84662697,0.3016514984581809,0.34924044674531846,0.863735862410457,-0.21133790316041146,2.434309732838065
2006,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,156498.82076229394,38354071.97457501,254,1139,355150.0059124423,126013461.84662697,0.44065554880175545,0.30436487826400943,1.4477871143185121,0.5338494810838877,4.080370419757186
2006,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,69628.58017354667,17886942.8453367,222,1111,355150.0059124423,126013461.84662697,0.1960540025746549,0.14194469847282817,1.381199894634914,0.46592212924768694,3.8927043472775176
2006,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,16324.155231806812,8593550.307099946,165,1077,355150.0059124423,126013461.84662697,0.045964113642254376,0.06819549420489135,0.6740051403419198,-0.5691685006352478,1.8995822039140076
2006,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,5170.320160562852,10035319.533143284,122,1042,355150.0059124423,126013461.84662697,0.014558130577189202,0.07963688471123374,0.18280637960635346,-2.4516116762099314,0.515212310229587
2006,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,396.59812331199646,7134579.475231881,46,892,355150.0059124423,126013461.84662697,0.0011167059459651894,0.05661759760171889,0.019723654716343644,-5.663929287520628,0.05558815690382461
2007,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,214481.50250331374,44260941.15701433,284,1142,682182.6582039964,126255026.24797812,0.31440480042102786,0.3505677553785558,0.8968446059208216,-0.15707006034304505,4.845841432572507
2007,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,304117.593658552,38399194.090632424,271,1140,682182.6582039964,126255026.24797812,0.4458008276833244,0.3041399240233999,1.4657754292363978,0.5516640857741343,7.9198952181327735
2007,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,126554.90358269354,17870427.477572624,245,1112,682182.6582039964,126255026.24797812,0.1855146888604272,0.14154230535323978,1.3106660118149682,0.39030010013978866,7.081806170642524
2007,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,28146.489360625135,8586798.55220076,197,1077,682182.6582039964,126255026.24797812,0.04125946184959799,0.06801153829183312,0.6066538544174123,-0.7210545190284744,3.2778793155001065
2007,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,8143.772779184229,10026038.205471817,152,1041,682182.6582039964,126255026.24797812,0.011937818531805828,0.07941100250361222,0.15032952809357628,-2.7337996801101707,0.812262292671065
2007,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,738.3963196277618,7111626.765086164,56,894,682182.6582039964,126255026.24797812,0.0010824026538167372,0.056327474449359205,0.019216246856405095,-5.701529600301309,0.10382945337525956
2008,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,306570.9584053853,44233412.00317633,295,1144,930433.2869229635,125821778.32868202,0.3294926812208604,0.35155608663888194,0.9372407241502689,-0.09350845262273345,6.930755384264071
2008,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,408420.5662694482,38186501.08297722,294,1140,930433.2869229635,125821778.32868202,0.43895738900328485,0.30349675223333195,1.4463330687170226,0.5323998214828142,10.695417351329786
2008,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,166101.4362231965,17757878.213429756,258,1112,930433.2869229635,125821778.32868202,0.17852052216716222,0.1411351711071923,1.2648903938450304,0.3390123769297459,9.353675829220347
2008,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,37681.525258615904,8554399.213497054,199,1077,930433.2869229635,125821778.32868202,0.04049890066082277,0.06798822371712587,0.5956752279530626,-0.7474021311934581,4.404929477591172
2008,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,10839.99292515119,10004428.340729523,155,1040,930433.2869229635,125821778.32868202,0.011650478414202201,0.07951269226695502,0.14652350564469652,-2.7707959711489742,1.0835194731736904
2008,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,818.807841166328,7085159.474872141,54,895,930433.2869229635,125821778.32868202,0.0008800285336675862,0.05631107403651301,0.015627983460179812,-5.99972455601081,0.11556660708488911
2009,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",00_03,0–3%,257088.93694085046,44149339.17602119,305,1144,713102.226136417,125136692.51415564,0.36052185439632767,0.3528089027207344,1.021861556259249,0.031199750455911765,5.823166138814668
