year,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years,grids_with_entry,grids_with_exposure,selected_total_year,exposure_total_year,selected_share,available_share,selection_ratio,log2_selection_ratio,conversion_rate_per_1000_ha_year,selection_ratio_bootstrap,selection_ratio_ci_low,selection_ratio_boot_median,selection_ratio_ci_high
1996,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,557.9731118679047,7182630.063047446,42,877,273061.1319788297,113657008.30858384,0.0020433999808920594,0.06319566360172252,0.03233449677449645,-4.950782032043576,0.07768367672706895,0.03233449677449644,0.01899409874853179,0.03199113739472423,0.047918323453210655
1997,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,47518.14980246226,37625605.21772871,190,1134,163756.62517553498,115094671.74356574,0.2901754341329783,0.32691005280904445,0.8876308074333717,-0.17196835416627396,1.262920543802238,0.8876308074333712,0.7658694031379462,0.8885491875105194,1.0124275165670213
1997,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,67842.69907091738,35109111.28233128,183,1131,163756.62517553498,115094671.74356574,0.414289797424654,0.3050454964636017,1.3581246149427662,0.4416158603718666,1.9323388315174854,1.3581246149427666,1.28789059222496,1.3575921565074016,1.42285704209044
1997,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,34943.73341446764,17001086.431765802,146,1094,163756.62517553498,115094671.74356574,0.21338821178691578,0.14771393127255025,1.444604513254667,0.5306745827878123,2.0553823753978904,1.4446045132546685,1.297998942446888,1.4416403776147808,1.5966286899914113
1997,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,9829.99378214537,8306468.040883003,106,1070,163756.62517553498,115094671.74356574,0.060028067698686044,0.07217074357177936,0.8317507168120488,-0.2657768904480006,1.1834143866880409,0.8317507168120497,0.6658579938651402,0.8318193170616301,1.0140822557174487
1997,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,3312.604468482148,9859806.066989295,82,1020,163756.62517553498,115094671.74356574,0.020228827169168156,0.08566692026332226,0.23613347027054268,-2.082325546878761,0.3359705501280368,0.23613347027054257,0.16198453031709237,0.23432554196412358,0.32189230588529616
1997,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,309.4446370601654,7192594.703867647,28,882,163756.62517553498,115094671.74356574,0.0018896617875976845,0.06249285561970198,0.030238045115063283,-5.047491317212029,0.04302267120567337,0.030238045115063287,0.01759680876037916,0.03029472286409017,0.04386421590335104
1998,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,37981.90182145624,38383908.40451034,192,1136,128979.862856332,116474232.15448664,0.2944793162306545,0.3295484992216948,0.8935841520326618,-0.16232449544329833,0.9895266897050311,0.8935841520326606,0.7887843648937166,0.8926719638181408,0.9942693851778429
1998,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,54169.81734476557,35510143.63839283,181,1132,128979.862856332,116474232.15448664,0.41998662539364157,0.3048755332535151,1.3775674975020296,0.46212300912366316,1.5254744643217464,1.3775674975020302,1.3124735642295549,1.3751099664728992,1.4454311019692172
1998,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,27176.53283767139,17118290.271865748,146,1095,128979.862856332,116474232.15448664,0.21070368843501386,0.14697062135735525,1.4336449454254758,0.5196877723672593,1.5875728478758515,1.4336449454254767,1.3145668264121664,1.4338451683836466,1.5783669219831507
1998,pre_law_1987_2001,"Pré-Lei, 1987–2001",09_12,>9–12%,7362.029387351578,8349285.015660185,116,1070,128979.862856332,116474232.15448664,0.05707890537573288,0.07168353773378851,0.7962623941316496,-0.32868417123823057,0.8817556681252492,0.7962623941316502,0.6402205835476702,0.7985712734125514,0.9675705493982572
1998,pre_law_1987_2001,"Pré-Lei, 1987–2001",12_20,>12–20%,2131.6428994066573,9902128.076060347,66,1022,128979.862856332,116474232.15448664,0.01652694344838194,0.08501561154682326,0.19439892447611873,-2.3629078577197085,0.215271190498957,0.1943989244761189,0.13151340842006948,0.19340845400743506,0.26809929233785873
1998,pre_law_1987_2001,"Pré-Lei, 1987–2001",gt_20,>20%,157.93856568055995,7210476.747997193,18,882,128979.862856332,116474232.15448664,0.001224521116575263,0.061906196886823105,0.019780267213215057,-5.659794274063127,0.021904039247395053,0.01978026721321506,0.010344966685849208,0.01939177284809954,0.03260291713563291
1999,pre_law_1987_2001,"Pré-Lei, 1987–2001",00_03,0–3%,46335.8491334803,39202032.75784487,213,1136,168144.96720136944,117924534.4943592,0.2755708357181381,0.3324332203297361,0.8289509557582815,-0.27064134657692623,1.1819756750804675,0.8289509557582809,0.73585714503951,0.8302933237010612,0.9266073617051506
1999,pre_law_1987_2001,"Pré-Lei, 1987–2001",03_06,>3–6%,72093.99330278752,35939428.81792288,206,1133,168144.96720136944,117924534.4943592,0.42876093470254256,0.3047663403720454,1.4068513411918455,0.49246989029715016,2.0059860624950856,1.4068513411918473,1.3356038932623449,1.40499966751996,1.47298484705463
1999,pre_law_1987_2001,"Pré-Lei, 1987–2001",06_09,>6–9%,36601.2547019491,17240068.654737353,161,1099,168144.96720136944,117924534.4943592,0.21767677802759122,0.14619577451511598,1.4889402840099488,0.574285893819068,2.123034161577514,1.4889402840099495,1.3733866304524691,1.4884857966584755,1.6196803007487954
