grid_id,grid_area_km2,period,period_label,slope_bin,slope_label,selected_area_ha,exposure_ha_years
"104,141",2205.7437286092463,post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,0.0,42599.4593965493
"104,141",2205.7437286092463,post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,0.0,35965.76363878811
"104,141",2205.7437286092463,post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,0.0,8864.764497130525
"105,141",1503.226002040825,pre_law_1986_2001,"Pré-Lei, 1986–2001",00_03,0–3%,0.0,71814.79366025364
"105,141",1503.226002040825,pre_law_1986_2001,"Pré-Lei, 1986–2001",03_06,>3–6%,0.0,90105.32619777846
"105,141",1503.226002040825,pre_law_1986_2001,"Pré-Lei, 1986–2001",06_09,>6–9%,0.0,83184.2868459739
"105,141",1503.226002040825,pre_law_1986_2001,"Pré-Lei, 1986–2001",09_12,>9–12%,0.0,73458.72141562817
"105,141",1503.226002040825,pre_law_1986_2001,"Pré-Lei, 1986–2001",12_20,>12–20%,0.0,126958.71518614993
"105,141",1503.226002040825,pre_law_1986_2001,"Pré-Lei, 1986–2001",gt_20,>20%,0.0,74219.41012457588
"105,141",1503.226002040825,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",00_03,0–3%,0.0,29609.2538636647
"105,141",1503.226002040825,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",03_06,>3–6%,0.0,40726.723763853886
"105,141",1503.226002040825,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",06_09,>6–9%,0.0,39105.781818134645
"105,141",1503.226002040825,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",09_12,>9–12%,0.0,34462.90825701787
"105,141",1503.226002040825,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",12_20,>12–20%,0.0,58574.66981252783
"105,141",1503.226002040825,post_law_pre_zae_2002_2008,"Pós-Lei / pré-ZAE, 2002–2008",gt_20,>20%,0.0,28452.56611697253
"105,141",1503.226002040825,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",00_03,0–3%,0.0,41009.89880225238
"105,141",1503.226002040825,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",03_06,>3–6%,0.0,57091.3717499546
"105,141",1503.226002040825,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",06_09,>6–9%,0.0,53672.64041772636
"105,141",1503.226002040825,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",09_12,>9–12%,0.0,46972.40975190237
"105,141",1503.226002040825,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",12_20,>12–20%,0.0,76248.03799748233
"105,141",1503.226002040825,zae_2009_2019,"Vigência do ZAE-Cana, 2009–2019",gt_20,>20%,0.0,30930.27862936562
"105,141",1503.226002040825,post_zae_2020_2023,"Pós-revogação, 2020–2023",00_03,0–3%,0.0,15021.946038778155
"105,141",1503.226002040825,post_zae_2020_2023,"Pós-revogação, 2020–2023",03_06,>3–6%,0.0,21564.576638744395
"105,141",1503.226002040825,post_zae_2020_2023,"Pós-revogação, 2020–2023",06_09,>6–9%,0.0,19106.27105788437
"105,141",1503.226002040825,post_zae_2020_2023,"Pós-revogação, 2020–2023",09_12,>9–12%,0.0,16318.0443691637
"105,141",1503.226002040825,post_zae_2020_2023,"Pós-revogação, 2020–2023",12_20,>12–20%,0.0,25061.920405178447
"105,141",1503.226002040825,post_zae_2020_2023,"Pós-revogação, 2020–2023",gt_20,>20%,0.0,9497.890583837734
