outcome,model,term,coef,std_err_hc3,p_value,ci_low,ci_high,n,r2,r2_adj,aic,bic,buffer_km
delta_vol_pct,M4 — + topografia,share_cane_slope_le12,10.496324198213328,10.945291483598906,0.3375684262090637,-10.956052909933502,31.948701306360157,221,0.3419950045913538,0.3139284408061508,1556.4212705108494,1590.402897526027,25
delta_vol_pct,M5 — + uso anterior,Intercept,-16.50837027505765,16.633940805943457,0.320977597739349,-49.11029517567798,16.093554625562682,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,C(uf_x)[T.MG],-0.22689089605423324,2.7649754094350127,0.9345998599616391,-5.6461431166857485,5.1923613245772815,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,C(uf_x)[T.MS],0.5822849560643725,2.5525159457161624,0.8195514237832965,-4.4205543675035015,5.585124279632246,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,C(uf_x)[T.MT],-1.009218418609011,6.484441311683722,0.876319228279613,-13.718489849372773,11.70005301215475,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,C(uf_x)[T.PR],5.291979125289364,3.202529180841777,0.0984454082023746,-0.9848627285990803,11.568820979177808,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,C(uf_x)[T.SP],1.7054834781283428,2.9942970198987036,0.5689644586485683,-4.16323083988873,7.574197796145416,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,frontier_year_c,0.0536066904629452,0.16378755905021614,0.7434455064736007,-0.26741102639120584,0.37462440731709623,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,vol_pct_first_c,-0.4996338564729934,0.16422232796631875,0.0023468152410111728,-0.821503704744303,-0.17776400820168375,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,log_cane_area,0.5356090416395634,1.3317360521323054,0.687545240651178,-2.074545657453311,3.1457637407324377,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,share_cane_slope_le12,13.560036928289554,12.234687920534714,0.26772054946803736,-10.419510758045734,37.53958461462484,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,prior_pasture_share,-12.528844351909493,7.668301120560085,0.10229060901055967,-27.5584383708154,2.5007496669964127,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,prior_annual_agriculture_share,-7.540223173716764,5.010799394016257,0.13237692824336267,-17.361209519743756,2.2807631723102277,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
delta_vol_pct,M5 — + uso anterior,prior_native_vegetation_share,13.261855562044394,97.50253099622189,0.8918090271468321,-177.8395935920508,204.36330471613957,221,0.3583949845957841,0.32137931063015623,1556.8433079592653,1601.0194230789962,25
