geocode,municipio,uf,cidade_uf_seeg,muni_key
3517000,Getulina,SP,Getulina (SP),GETULINA|SP
3517109,Glicério,SP,Glicério (SP),GLICERIO|SP
3517307,Guaimbê,SP,Guaimbê (SP),GUAIMBE|SP
3517208,Guaiçara,SP,Guaiçara (SP),GUAICARA|SP
3517604,Guapiara,SP,Guapiara (SP),GUAPIARA|SP
3517505,Guapiaçu,SP,Guapiaçu (SP),GUAPIACU|SP
3517901,Guaraci,SP,Guaraci (SP),GUARACI|SP
3518008,Guarani d'Oeste,SP,Guarani d'Oeste (SP),GUARANI DOESTE|SP
3518107,Guarantã,SP,Guarantã (SP),GUARANTA|SP
3518206,Guararapes,SP,Guararapes (SP),GUARARAPES|SP
3518305,Guararema,SP,Guararema (SP),GUARAREMA|SP
3518404,Guaratinguetá,SP,Guaratinguetá (SP),GUARATINGUETA|SP
3517802,Guaraçaí,SP,Guaraçaí (SP),GUARACAI|SP
3518503,Guareí,SP,Guareí (SP),GUAREI|SP
3518602,Guariba,SP,Guariba (SP),GUARIBA|SP
3518701,Guarujá,SP,Guarujá (SP),GUARUJA|SP
3518800,Guarulhos,SP,Guarulhos (SP),GUARULHOS|SP
3517703,Guará,SP,Guará (SP),GUARA|SP
3518859,Guatapará,SP,Guatapará (SP),GUATAPARA|SP
3517406,Guaíra,SP,Guaíra (SP),GUAIRA|SP
3518909,Guzolândia,SP,Guzolândia (SP),GUZOLANDIA|SP
3516606,Gália,SP,Gália (SP),GALIA|SP
3519006,Herculândia,SP,Herculândia (SP),HERCULANDIA|SP
3519055,Holambra,SP,Holambra (SP),HOLAMBRA|SP
3519071,Hortolândia,SP,Hortolândia (SP),HORTOLANDIA|SP
3519105,Iacanga,SP,Iacanga (SP),IACANGA|SP
3519204,Iacri,SP,Iacri (SP),IACRI|SP
3519253,Iaras,SP,Iaras (SP),IARAS|SP
3519303,Ibaté,SP,Ibaté (SP),IBATE|SP
3519501,Ibirarema,SP,Ibirarema (SP),IBIRAREMA|SP
3519402,Ibirá,SP,Ibirá (SP),IBIRA|SP
3519600,Ibitinga,SP,Ibitinga (SP),IBITINGA|SP
3519709,Ibiúna,SP,Ibiúna (SP),IBIUNA|SP
3519808,Icém,SP,Icém (SP),ICEM|SP
3519907,Iepê,SP,Iepê (SP),IEPE|SP
3520103,Igarapava,SP,Igarapava (SP),IGARAPAVA|SP
3520202,Igaratá,SP,Igaratá (SP),IGARATA|SP
3520004,Igaraçu do Tietê,SP,Igaraçu do Tietê (SP),IGARACU DO TIETE|SP
3520301,Iguape,SP,Iguape (SP),IGUAPE|SP
3520426,Ilha Comprida,SP,Ilha Comprida (SP),ILHA COMPRIDA|SP
3520442,Ilha Solteira,SP,Ilha Solteira (SP),ILHA SOLTEIRA|SP
3520400,Ilhabela,SP,Ilhabela (SP),ILHABELA|SP
3520509,Indaiatuba,SP,Indaiatuba (SP),INDAIATUBA|SP
3520608,Indiana,SP,Indiana (SP),INDIANA|SP
3520707,Indiaporã,SP,Indiaporã (SP),INDIAPORA|SP
3520806,Inúbia Paulista,SP,Inúbia Paulista (SP),INUBIA PAULISTA|SP
3520905,Ipaussu,SP,Ipaussu (SP),IPAUSSU|SP
3521002,Iperó,SP,Iperó (SP),IPERO|SP
3521101,Ipeúna,SP,Ipeúna (SP),IPEUNA|SP
3521150,Ipiguá,SP,Ipiguá (SP),IPIGUA|SP
3521200,Iporanga,SP,Iporanga (SP),IPORANGA|SP
3521309,Ipuã,SP,Ipuã (SP),IPUA|SP
3521408,Iracemápolis,SP,Iracemápolis (SP),IRACEMAPOLIS|SP
3521606,Irapuru,SP,Irapuru (SP),IRAPURU|SP
3521507,Irapuã,SP,Irapuã (SP),IRAPUA|SP
3521705,Itaberá,SP,Itaberá (SP),ITABERA|SP
3521903,Itajobi,SP,Itajobi (SP),ITAJOBI|SP
3522000,Itaju,SP,Itaju (SP),ITAJU|SP
3522109,Itanhaém,SP,Itanhaém (SP),ITANHAEM|SP
3522158,Itaoca,SP,Itaoca (SP),ITAOCA|SP
3522208,Itapecerica da Serra,SP,Itapecerica da Serra (SP),ITAPECERICA DA SERRA|SP
3522307,Itapetininga,SP,Itapetininga (SP),ITAPETININGA|SP
3522406,Itapeva,SP,Itapeva (SP),ITAPEVA|SP
3522505,Itapevi,SP,Itapevi (SP),ITAPEVI|SP
3522604,Itapira,SP,Itapira (SP),ITAPIRA|SP
3522653,Itapirapuã Paulista,SP,Itapirapuã Paulista (SP),ITAPIRAPUA PAULISTA|SP
3522802,Itaporanga,SP,Itaporanga (SP),ITAPORANGA|SP
3523008,Itapura,SP,Itapura (SP),ITAPURA|SP
3522901,Itapuí,SP,Itapuí (SP),ITAPUI|SP
3523107,Itaquaquecetuba,SP,Itaquaquecetuba (SP),ITAQUAQUECETUBA|SP
3523206,Itararé,SP,Itararé (SP),ITARARE|SP
3523305,Itariri,SP,Itariri (SP),ITARIRI|SP
3523404,Itatiba,SP,Itatiba (SP),ITATIBA|SP
3523503,Itatinga,SP,Itatinga (SP),ITATINGA|SP
3521804,Itaí,SP,Itaí (SP),ITAI|SP
3523602,Itirapina,SP,Itirapina (SP),ITIRAPINA|SP
3523701,Itirapuã,SP,Itirapuã (SP),ITIRAPUA|SP
3523800,Itobi,SP,Itobi (SP),ITOBI|SP
3523909,Itu,SP,Itu (SP),ITU|SP
3524006,Itupeva,SP,Itupeva (SP),ITUPEVA|SP
3524105,Ituverava,SP,Ituverava (SP),ITUVERAVA|SP
3522703,Itápolis,SP,Itápolis (SP),ITAPOLIS|SP
3524204,Jaborandi,SP,Jaborandi (SP),JABORANDI|SP
3524303,Jaboticabal,SP,Jaboticabal (SP),JABOTICABAL|SP
3524402,Jacareí,SP,Jacareí (SP),JACAREI|SP
3524501,Jaci,SP,Jaci (SP),JACI|SP
3524600,Jacupiranga,SP,Jacupiranga (SP),JACUPIRANGA|SP
3524709,Jaguariúna,SP,Jaguariúna (SP),JAGUARIUNA|SP
3524808,Jales,SP,Jales (SP),JALES|SP
3524907,Jambeiro,SP,Jambeiro (SP),JAMBEIRO|SP
3525003,Jandira,SP,Jandira (SP),JANDIRA|SP
3525102,Jardinópolis,SP,Jardinópolis (SP),JARDINOPOLIS|SP
3525201,Jarinu,SP,Jarinu (SP),JARINU|SP
3525300,Jaú,SP,Jaú (SP),JAU|SP
3525409,Jeriquara,SP,Jeriquara (SP),JERIQUARA|SP
3525508,Joanópolis,SP,Joanópolis (SP),JOANOPOLIS|SP
3525706,José Bonifácio,SP,José Bonifácio (SP),JOSE BONIFACIO|SP
3525607,João Ramalho,SP,João Ramalho (SP),JOAO RAMALHO|SP
3525854,Jumirim,SP,Jumirim (SP),JUMIRIM|SP
3525904,Jundiaí,SP,Jundiaí (SP),JUNDIAI|SP
3526001,Junqueirópolis,SP,Junqueirópolis (SP),JUNQUEIROPOLIS|SP
3526209,Juquitiba,SP,Juquitiba (SP),JUQUITIBA|SP
3526100,Juquiá,SP,Juquiá (SP),JUQUIA|SP
3525805,Júlio Mesquita,SP,Júlio Mesquita (SP),JULIO MESQUITA|SP
3526308,Lagoinha,SP,Lagoinha (SP),LAGOINHA|SP
3526407,Laranjal Paulista,SP,Laranjal Paulista (SP),LARANJAL PAULISTA|SP
3526605,Lavrinhas,SP,Lavrinhas (SP),LAVRINHAS|SP
3526506,Lavínia,SP,Lavínia (SP),LAVINIA|SP
3526704,Leme,SP,Leme (SP),LEME|SP
3526803,Lençóis Paulista,SP,Lençóis Paulista (SP),LENCOIS PAULISTA|SP
3526902,Limeira,SP,Limeira (SP),LIMEIRA|SP
3527009,Lindóia,SP,Lindóia (SP),LINDOIA|SP
3527108,Lins,SP,Lins (SP),LINS|SP
3527207,Lorena,SP,Lorena (SP),LORENA|SP
3527256,Lourdes,SP,Lourdes (SP),LOURDES|SP
3527306,Louveira,SP,Louveira (SP),LOUVEIRA|SP
3527504,Lucianópolis,SP,Lucianópolis (SP),LUCIANOPOLIS|SP
3527405,Lucélia,SP,Lucélia (SP),LUCELIA|SP
3527702,Luiziânia,SP,Luiziânia (SP),LUIZIANIA|SP
3527801,Lupércio,SP,Lupércio (SP),LUPERCIO|SP
3527900,Lutécia,SP,Lutécia (SP),LUTECIA|SP
3527603,Luís Antônio,SP,Luís Antônio (SP),LUIS ANTONIO|SP
3528007,Macatuba,SP,Macatuba (SP),MACATUBA|SP
3528106,Macaubal,SP,Macaubal (SP),MACAUBAL|SP
3528205,Macedônia,SP,Macedônia (SP),MACEDONIA|SP
3528304,Magda,SP,Magda (SP),MAGDA|SP
3528403,Mairinque,SP,Mairinque (SP),MAIRINQUE|SP
3528502,Mairiporã,SP,Mairiporã (SP),MAIRIPORA|SP
3528601,Manduri,SP,Manduri (SP),MANDURI|SP
3528700,Marabá Paulista,SP,Marabá Paulista (SP),MARABA PAULISTA|SP
3528809,Maracaí,SP,Maracaí (SP),MARACAI|SP
3528858,Marapoama,SP,Marapoama (SP),MARAPOAMA|SP
3529104,Marinópolis,SP,Marinópolis (SP),MARINOPOLIS|SP
3528908,Mariápolis,SP,Mariápolis (SP),MARIAPOLIS|SP
3529203,Martinópolis,SP,Martinópolis (SP),MARTINOPOLIS|SP
3529005,Marília,SP,Marília (SP),MARILIA|SP
3529302,Matão,SP,Matão (SP),MATAO|SP
3529401,Mauá,SP,Mauá (SP),MAUA|SP
3529500,Mendonça,SP,Mendonça (SP),MENDONCA|SP
