cd_ibge,uf,nm_mun,n_usinas,neea_2022,neea_2023,neea_2025,vol_2022,vol_2023,vol_2025,log_pib_pc,log_pop,log_area_total,densidade_pop,share_vadc_ind,share_vadc_serv,pess_ocup_per_est,share_est_af,share_area_af,natveg_share,trator_per_est,share_est_at,share_est_fin_total,share_est_energia,ivs_infra,ivs_renda_t,idhm_educ,gini,share_pop_agua,uai_housing,uai_environ,uai_food,uai_mobility,uai_climate,uai_total
3550100,SP,São Manuel,1,61.5,61.02,61.02,99.55,98.32,98.32,10.242421043498677,10.61381136646669,5.784655606662756,125.48801924322325,0.1933744522952368,0.5470728236450234,18.518796992481203,0.40601503759398494,0.017707499894723543,0.08958583896135937,2.7593984962406015,0.46616541353383456,0.19548872180451127,0.91,0.142,0.214,0.695,0.45,0.9798731937481568,0.0,1.0,0.25,0.4,0.4,0.41
3551504,SP,Serrana,1,65.5,63.82,64.38,96.35,94.96,96.11,9.967822928041022,10.687183595798688,4.158023338885283,695.6867106203829,0.14264648788810252,0.6173488105372261,103.73684210526316,0.47368421052631576,0.008608172578303257,0.08658352529986496,6.894736842105263,0.3684210526315789,0.2631578947368421,0.95,0.161,0.177,0.65,0.37,1.0,0.0,0.13,0.0,0.2,0.2,0.11
3551702,SP,Sertãozinho,3,57.336666666666666,55.60999999999999,56.85,96.45,95.8,94.46999999999998,10.713572967563955,11.717041128799853,6.000399511165561,304.63498844978767,0.3594892620285905,0.5125697181561955,43.30935251798561,0.5323741007194245,0.03218256290228204,0.05067189945105442,3.8345323741007196,0.7985611510791367,0.3237410071942446,0.71,0.128,0.2,0.672,0.46,0.9947571406439829,1.0,0.88,0.5,1.0,0.4,0.76
3551900,SP,Severínia,1,59.4,61.8,61.8,96.1,94.69,94.69,9.520541965857834,9.747768977536708,4.9578672285576,121.13383820511007,0.051625498838120516,0.5246531348097281,4.855670103092783,0.5670103092783505,0.09290310885525242,0.060867718876070495,1.5051546391752577,0.5670103092783505,0.26804123711340205,0.84,0.356,0.171,0.638,0.41,1.0,0.0,0.25,0.5,0.4,0.2,0.27
3552551,SP,Suzanápolis,1,66.4,62.05,62.05,100.0,99.8,99.8,11.242021843757266,8.252446090246952,5.795480076344844,11.70190049113816,0.5222352153131776,0.26284518416760333,6.957446808510638,0.6631205673758865,0.11434540883175749,0.08511027729477441,0.5035460992907801,0.41134751773049644,0.11347517730496454,0.93,0.042,0.296,0.631,0.41,0.6595411887382691,0.0,0.38,0.75,0.4,0.0,0.31
3553401,SP,Tanabi,1,64.8,68.01,68.01,95.0,95.76,95.76,10.47494720983897,10.155179687254753,5.926819353614451,68.78543159696224,0.3014902143146936,0.4243362128484423,3.194915254237288,0.8060263653483992,0.27294009034257644,0.09359289763611083,0.6073446327683616,0.24199623352165725,0.09416195856873823,0.84,0.133,0.231,0.687,0.42,1.0,0.0,0.63,0.25,0.6,0.2,0.34
3553955,SP,Tarumã,1,48.0,49.96,49.03,76.61,72.81,76.44,11.081804030048279,9.58520880610688,5.027066230554002,96.0293098326567,0.39334523457684645,0.446847203287222,43.8125,0.5125,0.04772280611808938,0.03465689672244776,4.3375,0.675,0.325,0.83,0.086,0.293,0.68,0.54,0.9941568708324741,0.67,0.63,0.5,0.6,0.2,0.52
3555356,SP,Ubarana,1,59.2,63.05,63.05,98.26,99.47,99.47,10.937312400199797,8.71292443512011,5.367190230834412,28.50980024383382,0.5604684110193479,0.1990685634028647,19.017543859649123,0.631578947368421,0.0335032039961653,0.08768639219731783,1.8421052631578947,0.5087719298245614,0.21052631578947367,0.91,0.108,0.231,0.604,0.35,0.9861842105263158,0.0,0.5,0.0,0.2,0.4,0.22
3556305,SP,Valparaíso,2,61.25,63.335,63.07,96.905,96.705,89.77,10.51303570921976,10.151635862839903,6.755419617678439,29.884575026232948,0.3543103755259672,0.3547836455345481,8.836158192090396,0.4971751412429379,0.03194044490273254,0.1204383817185496,1.8926553672316384,0.4858757062146893,0.192090395480226,0.89,0.248,0.231,0.643,0.45,1.0,1.0,0.5,0.25,0.2,0.4,0.47
3556909,SP,Vista Alegre do Alto,1,63.5,64.1,64.1,94.23,98.32,98.32,10.7268293147539,9.028338763993148,4.569439376032292,87.28662687192377,0.4621943056899258,0.3461451900003215,39.32432432432432,0.5945945945945946,0.12431710574238193,0.08273117603937585,4.2342342342342345,0.5945945945945946,0.2882882882882883,0.91,0.192,0.188,0.676,0.35,0.9042591481703659,0.0,0.5,0.5,0.2,0.4,0.32
4102109,PR,Astorga,1,46.22,46.22,51.42,90.01,90.01,91.16,10.22317688362289,10.173400179376332,6.075874626989435,60.32747622227851,0.1452285146957515,0.48856563521997476,2.852482269503546,0.6425531914893617,0.132111313958652,0.07553600626396148,0.8453900709219858,0.624113475177305,0.3049645390070922,0.81,0.166,0.229,0.675,0.5,0.999885478699038,0.33,0.25,0.75,0.8,0.6,0.55
4105607,PR,Cidade Gaúcha,1,63.63,63.63,62.69,95.26,95.26,95.48,10.361513484709917,9.41954725755152,5.996302823748231,30.742754526861876,0.34235024110987905,0.3947239485288429,4.5120481927710845,0.42168674698795183,0.06499172988079621,0.06858881628173792,0.9216867469879518,0.37349397590361444,0.25903614457831325,0.84,0.054,0.281,0.645,0.42,0.9998377413597274,0.33,0.88,0.25,0.2,0.4,0.41
4105904,PR,Colorado,1,61.1,65.08,65.08,98.14,95.01,95.01,10.167619484527648,10.083389517811316,6.004084578464084,59.248168679469416,0.2460578100745144,0.45255695726180045,4.587786259541985,0.5801526717557252,0.11232718894009217,0.043803207285686,0.5979643765903307,0.49363867684478374,0.17302798982188294,0.89,0.053,0.215,0.649,0.43,0.9890146610417275,1.0,0.5,1.0,0.6,0.8,0.78
4108007,PR,Florestópolis,1,62.6,66.67,66.67,93.6,96.18,96.18,10.09749061410392,9.313618721429684,5.511046879513374,44.99411549855931,0.29070450885668275,0.35088566827697265,3.023696682464455,0.7962085308056872,0.08203321590337191,0.11890751187045981,0.5450236966824644,0.3933649289099526,0.17061611374407584,0.78,0.4,0.211,0.625,0.34,0.9998196085505547,0.33,0.5,0.75,0.2,0.2,0.4
4111555,PR,Ivaté,1,61.08,60.71,62.87,97.57,97.83,98.09,10.046678392127044,9.002208578282412,6.023011662606112,19.717352241270458,0.24939511631498568,0.31873223243549337,3.6064030131826743,0.7250470809792844,0.09905501181235235,0.13112524889514837,0.3691148775894539,0.2222222222222222,0.05084745762711865,0.73,0.287,0.247,0.641,0.37,0.9357142857142857,0.67,0.63,0.5,0.2,0.2,0.44
4111803,PR,Jacarezinho,2,51.004999999999995,52.25,52.945,89.25999999999999,90.83500000000001,89.155,10.284933154800072,10.603213048456196,6.403441738831369,66.78000398062761,0.24840005179569435,0.5059446901379296,3.979038224414303,0.688039457459926,0.130583294822078,0.14313673455848205,0.42909987669543775,0.23057953144266338,0.09864364981504316,0.88,0.217,0.227,0.663,0.53,0.99987581650647,0.0,0.75,1.0,0.4,0.6,0.55
4112108,PR,Jandaia do Sul,1,65.23,65.23,68.1,52.15,52.15,36.82,10.33543229344867,9.96843224117651,5.242434609300363,113.4375166108542,0.1810664410695142,0.588185114473482,2.275053304904051,0.7292110874200426,0.3500934261933073,0.08504757348641896,0.5628997867803838,0.29850746268656714,0.12366737739872068,0.84,0.008,0.22,0.703,0.46,0.9998594255189541,0.0,0.38,0.5,0.2,0.6,0.34
