iteration,period,slope_bin,selection_ratio
13,post_zae_2020_2023,06_09,1.1418758496290642
13,post_zae_2020_2023,09_12,0.5486015087594927
13,post_zae_2020_2023,12_20,0.1642647456574724
13,post_zae_2020_2023,gt_20,0.048500172497016165
13,pre_law_1986_2001,00_03,0.8922875588622261
13,pre_law_1986_2001,03_06,1.3525749529439801
13,pre_law_1986_2001,06_09,1.4977015343096278
13,pre_law_1986_2001,09_12,0.8912230195851474
13,pre_law_1986_2001,12_20,0.24514277272282115
13,pre_law_1986_2001,gt_20,0.04032045454037765
13,zae_2009_2019,00_03,1.1211247385258312
13,zae_2009_2019,03_06,1.3901623400708736
13,zae_2009_2019,06_09,1.0295620685127673
13,zae_2009_2019,09_12,0.47582650673736904
13,zae_2009_2019,12_20,0.1360326107791354
13,zae_2009_2019,gt_20,0.022473141630531525
14,post_law_pre_zae_2002_2008,00_03,0.9418828077293739
14,post_law_pre_zae_2002_2008,03_06,1.419848441029819
14,post_law_pre_zae_2002_2008,06_09,1.3100793762089822
14,post_law_pre_zae_2002_2008,09_12,0.6410666032372506
14,post_law_pre_zae_2002_2008,12_20,0.1586035790630439
14,post_law_pre_zae_2002_2008,gt_20,0.020806823944590932
14,post_zae_2020_2023,00_03,0.9853363202924702
14,post_zae_2020_2023,03_06,1.4755632648851873
14,post_zae_2020_2023,06_09,1.108580284620922
14,post_zae_2020_2023,09_12,0.5460586401963905
14,post_zae_2020_2023,12_20,0.16334186045149457
14,post_zae_2020_2023,gt_20,0.039260992514250616
14,pre_law_1986_2001,00_03,0.8289068548738862
14,pre_law_1986_2001,03_06,1.3967463098659345
14,pre_law_1986_2001,06_09,1.572733288185348
14,pre_law_1986_2001,09_12,0.8675546230590298
14,pre_law_1986_2001,12_20,0.20464315950424541
14,pre_law_1986_2001,gt_20,0.030496458822978495
14,zae_2009_2019,00_03,1.1046231424546822
14,zae_2009_2019,03_06,1.400172352189854
14,zae_2009_2019,06_09,1.012992138227208
14,zae_2009_2019,09_12,0.4640861885989783
14,zae_2009_2019,12_20,0.12711547319008745
14,zae_2009_2019,gt_20,0.019218224352957527
15,post_law_pre_zae_2002_2008,00_03,0.9155901227523153
15,post_law_pre_zae_2002_2008,03_06,1.4390000554675568
